18260,547,2019-09-07,2019-10-07
18261,781,2018-05-18,2018-06-18
18262,686,2019-09-06,2019-10-06
18263,93,2021-07-15,2021-08-15
18264,325,2018-09-10,2018-10-10
18265,797,2021-05-02,2021-06-02
18266,335,2019-09-08,2019-10-08
18267,201,2018-09-26,2018-10-26
18268,807,2021-05-19,2021-06-19
18269,423,2021-05-05,2021-06-05
18270,789,2018-08-18,2018-09-18
18271,117,2020-05-02,2020-06-02
18272,19,2020-06-06,2020-07-06
18273,808,2020-07-29,2020-08-29
18274,267,2020-05-31,2020-06-30
18275,372,2019-07-04,2019-08-04
18276,47,2021-07-29,2021-08-29
18277,361,2020-06-15,2020-07-15
18278,394,2020-05-12,2020-06-12
18279,456,2019-06-26,2019-07-26
18280,615,2019-05-24,2019-06-24
18281,398,2018-07-28,2018-08-28
18282,536,2020-05-08,2020-06-08
18283,309,2021-05-12,2021-06-12
18284,584,2020-06-26,2020-07-26
18285,761,2018-05-25,2018-06-25
18287,526,2019-05-21,2019-06-21
18288,670,2021-06-06,2021-07-06
18289,154,2019-07-18,2019-08-18
18290,574,2020-08-07,2020-09-07
18292,861,2020-08-15,2020-09-15
18293,388,2021-06-07,2021-07-07
18294,352,2019-09-11,2019-10-11
18295,571,2019-05-22,2019-06-22
18297,499,2020-06-23,2020-07-23
18298,493,2018-07-10,2018-08-10
18299,567,2018-09-24,2018-10-24
18300,45,2020-09-08,2020-10-08
18301,772,2020-09-22,2020-10-22
18302,862,2019-05-27,2019-06-27
18303,95,2018-09-23,2018-10-23
18304,516,2019-07-18,2019-08-18
18305,354,2021-08-25,2021-09-25
18306,349,2019-06-23,2019-07-23
18309,192,2021-06-19,2021-07-19
18310,71,2018-07-31,2018-08-31
18312,643,2021-06-05,2021-07-05
18313,588,2020-05-05,2020-06-05
18315,720,2021-05-27,2021-06-27
18316,316,2021-09-15,2021-10-15
18317,671,2021-09-17,2021-10-17
18318,756,2020-08-09,2020-09-09
18319,221,2018-06-25,2018-07-25
18320,247,2018-05-17,2018-06-17
18321,479,2020-07-05,2020-08-05
18322,102,2018-09-26,2018-10-26
18323,202,2019-07-14,2019-08-14
18324,558,2020-08-15,2020-09-15
18325,457,2018-06-19,2018-07-19
18326,809,2020-06-13,2020-07-13
18327,572,2019-07-31,2019-08-31
18328,62,2021-05-23,2021-06-23
18329,499,2020-08-23,2020-09-23
18330,145,2019-08-28,2019-09-28
18331,744,2020-07-01,2020-08-01
18332,862,2019-07-27,2019-08-27
18333,665,2019-08-18,2019-09-18
18334,827,2019-05-12,2019-06-12
18335,742,2021-05-09,2021-06-09
18336,817,2018-06-29,2018-07-29
18337,463,2018-05-07,2018-06-07
18339,801,2018-05-10,2018-06-10
18340,865,2020-05-16,2020-06-16
18341,339,2021-05-09,2021-06-09
18342,721,2021-05-18,2021-06-18
18343,280,2018-05-11,2018-06-11
18344,498,2021-07-22,2021-08-22
18345,761,2018-07-25,2018-08-25
18346,549,2020-09-25,2020-10-25
18347,237,2020-09-10,2020-10-10
18348,769,2020-05-06,2020-06-06
18349,776,2021-08-22,2021-09-22
18350,737,2020-05-28,2020-06-28
18351,428,2021-07-25,2021-08-25
18352,815,2020-08-28,2020-09-28
18353,444,2018-08-25,2018-09-25
18355,525,2018-08-04,2018-09-04
18356,596,2021-09-20,2021-10-20
18357,527,2021-07-03,2021-08-03
18358,307,2021-08-04,2021-09-04
18359,94,2019-07-27,2019-08-27
18360,411,2021-07-24,2021-08-24
18361,760,2020-05-17,2020-06-17
18362,234,2020-07-28,2020-08-28
18363,258,2019-08-06,2019-09-06
18364,265,2019-05-12,2019-06-12
18365,610,2018-09-26,2018-10-26
18367,236,2018-07-17,2018-08-17
18368,527,2021-09-03,2021-10-03
18369,661,2021-08-06,2021-09-06
18370,282,2020-06-22,2020-07-22
18371,324,2018-05-12,2018-06-12
18372,764,2019-08-18,2019-09-18
18373,783,2020-08-06,2020-09-06
18374,141,2021-05-26,2021-06-26
18375,390,2020-09-08,2020-10-08
18377,523,2020-07-12,2020-08-12
18378,462,2018-06-12,2018-07-12
18379,365,2021-09-26,2021-10-26
18380,148,2020-07-01,2020-08-01
18381,442,2018-06-26,2018-07-26
18382,748,2021-09-12,2021-10-12
18383,49,2019-06-17,2019-07-17
18384,241,2020-08-02,2020-09-02
18385,158,2018-09-27,2018-10-27
18386,66,2019-05-06,2019-06-06
18387,376,2020-07-31,2020-08-31
18389,595,2018-05-17,2018-06-17
18391,559,2021-09-09,2021-10-09
18392,412,2020-08-12,2020-09-12
18393,820,2018-05-31,2018-06-30
18394,534,2018-08-31,2018-09-30
18395,117,2020-07-02,2020-08-02
18397,873,2019-09-10,2019-10-10
18398,63,2019-07-07,2019-08-07
18399,879,2019-06-06,2019-07-06
18400,226,2018-06-05,2018-07-05
18401,465,2021-06-27,2021-07-27
18402,425,2019-09-17,2019-10-17
18403,81,2019-05-06,2019-06-06
18404,274,2021-05-21,2021-06-21
18405,878,2021-05-17,2021-06-17
18406,169,2019-08-24,2019-09-24
18408,402,2018-08-19,2018-09-19
18409,262,2021-07-03,2021-08-03
18410,375,2019-08-18,2019-09-18
18411,197,2020-05-29,2020-06-29
18412,795,2021-05-04,2021-06-04
18413,749,2019-08-24,2019-09-24
18414,679,2020-09-18,2020-10-18
18416,301,2018-05-12,2018-06-12
18417,328,2021-05-19,2021-06-19
18418,312,2019-05-09,2019-06-09
18419,769,2020-07-06,2020-08-06
18420,598,2020-08-06,2020-09-06
18421,621,2021-06-12,2021-07-12
18422,543,2018-06-22,2018-07-22
18423,498,2021-09-22,2021-10-22
18424,567,2019-05-24,2019-06-24
18426,310,2018-08-18,2018-09-18
18427,697,2021-06-08,2021-07-08
18429,793,2019-05-24,2019-06-24
18430,437,2020-09-28,2020-10-28
18431,717,2019-09-22,2019-10-22
18432,865,2020-07-16,2020-08-16
18433,389,2019-07-12,2019-08-12
18434,338,2020-05-13,2020-06-13
18435,117,2020-09-02,2020-10-02
18436,214,2021-07-17,2021-08-17
18437,585,2019-06-23,2019-07-23
18438,620,2021-08-20,2021-09-20
18440,33,2020-05-26,2020-06-26
18441,897,2020-05-16,2020-06-16
18442,108,2021-07-23,2021-08-23
18443,803,2018-09-04,2018-10-04
18444,847,2019-05-24,2019-06-24
18445,749,2020-05-24,2020-06-24
18446,882,2019-08-15,2019-09-15
18447,183,2021-07-27,2021-08-27
18448,658,2021-07-28,2021-08-28
18450,897,2020-07-16,2020-08-16
18451,702,2019-05-07,2019-06-07
18452,360,2018-05-15,2018-06-15
18453,194,2019-05-02,2019-06-02
18454,267,2020-07-30,2020-08-30
18455,762,2019-05-09,2019-06-09
18456,606,2020-06-14,2020-07-14
18457,290,2020-05-05,2020-06-05
18458,181,2019-05-23,2019-06-23
18459,855,2021-08-28,2021-09-28
18461,817,2018-08-29,2018-09-29
18462,164,2020-05-22,2020-06-22
18463,510,2019-05-11,2019-06-11
18465,500,2020-05-13,2020-06-13
18468,575,2018-08-11,2018-09-11
18469,45,2021-05-08,2021-06-08
18470,658,2021-09-28,2021-10-28
18471,718,2021-09-17,2021-10-17
18472,180,2021-07-29,2021-08-29
18473,884,2019-08-10,2019-09-10
18474,345,2018-07-06,2018-08-06
18475,603,2020-06-04,2020-07-04
18476,710,2021-09-03,2021-10-03
18477,64,2020-06-22,2020-07-22
18478,475,2018-06-09,2018-07-09
18479,193,2018-09-27,2018-10-27
18482,594,2021-05-08,2021-06-08
18483,663,2020-05-26,2020-06-26
18484,637,2020-05-11,2020-06-11
18485,314,2018-05-18,2018-06-18
18487,170,2019-05-14,2019-06-14
18489,851,2020-09-22,2020-10-22
18490,517,2021-06-20,2021-07-20
18491,476,2018-09-13,2018-10-13
18492,531,2021-08-24,2021-09-24
18493,594,2021-07-08,2021-08-08
18494,721,2021-07-18,2021-08-18
18495,556,2021-09-03,2021-10-03
18496,133,2019-09-15,2019-10-15
18497,405,2021-05-23,2021-06-23
18498,826,2021-08-12,2021-09-12
18499,867,2019-08-31,2019-09-30
