4971,11,1,0.20
4972,11,2,3.40
4973,11,3,1.50
4974,12,1,1.10
4975,12,2,1.50
4976,13,3,1.90
4977,13,1,0.30
4978,15,1,1.40
4979,15,2,0.60
4980,15,3,3.60
4981,16,1,1.50
4982,16,2,0.60
4983,17,1,2.30
4984,18,1,1.90
4985,18,2,3.80
4986,21,1,3.20
4987,21,2,0.60
4988,21,3,0.30
4989,22,2,1.40
4990,22,3,1.60
4991,22,1,0.10
4992,23,1,0.10
4993,25,3,1.60
4994,26,1,2.20
4995,26,2,2.20
4996,26,3,1.40
4997,27,3,2.20
4998,28,1,0.60
4999,28,2,1.40
5000,29,1,1.30
5001,32,3,2.20
5002,32,1,1.70
5003,33,3,3.50
5004,33,1,0.30
5005,33,2,3.50
5006,34,1,2.20
5007,35,2,2.20
5008,36,3,1.80
5009,37,1,1.50
5010,37,2,2.70
5011,37,3,3.70
5012,40,2,1.30
5013,40,3,0.80
5014,40,1,1.10
5015,41,2,1.60
5016,42,2,2.40
5017,42,3,3.70
5018,42,1,1.90
5019,43,1,2.40
5020,44,3,3.50
5021,45,1,1.10
5022,46,3,1.30
5023,46,1,1.60
5024,46,2,0.10
5025,47,3,3.70
5026,47,1,0.30
5027,48,3,0.20
5028,48,1,0.90
5029,48,2,0.30
5030,49,3,1.40
5031,49,1,1.50
5032,51,2,3.50
5033,51,3,0.70
5034,51,1,0.80
5035,53,2,2.50
5036,54,2,3.90
5037,55,2,1.30
5038,56,3,2.40
5039,56,1,1.90
5040,56,2,3.30
5041,57,2,0.20
5042,57,3,1.60
5043,57,1,1.80
5044,58,1,2.10
5045,58,2,2.60
5046,59,1,3.10
5047,61,3,2.10
5048,61,1,1.70
5049,61,2,2.10
5050,63,1,1.80
5051,63,2,0.50
5052,63,3,1.20
5053,64,1,3.80
5054,64,2,2.60
5055,66,2,3.30
5056,66,3,0.70
5057,67,1,1.50
5058,68,3,2.10
5059,70,1,2.30
5060,71,3,2.60
5061,72,2,1.90
5062,72,3,0.60
5063,74,2,1.90
5064,74,3,2.40
5065,76,3,0.70
5066,76,1,3.40
5067,76,2,1.30
5068,77,1,2.60
5069,78,1,3.10
5070,78,2,0.60
5071,79,1,1.30
5072,79,2,1.50
5073,79,3,2.90
5074,80,3,1.70
5075,80,1,3.10
5076,80,2,2.70
5077,81,1,2.70
5078,81,2,0.80
5079,81,3,1.60
5080,82,2,3.10
5081,82,3,1.20
5082,84,3,2.20
5083,84,1,0.30
5084,85,2,3.20
5085,85,3,2.50
5086,85,1,0.20
5087,86,3,0.50
5088,86,1,1.50
5089,86,2,3.20
5090,87,2,2.70
5091,87,3,1.40
5092,89,2,2.40
5093,89,3,2.70
5094,89,1,0.20
5095,90,1,3.50
5096,90,2,1.80
5097,90,3,3.30
5098,91,1,3.40
5099,91,2,3.20
5100,91,3,1.80
5101,92,3,3.30
5102,92,1,3.30
5103,93,3,2.60
5104,93,1,1.50
5105,94,3,0.70
5106,94,1,2.30
5107,96,2,3.60
5108,96,3,1.40
5109,97,2,0.10
5110,97,3,0.10
5111,97,1,0.10
5112,98,2,3.50
5113,98,3,1.40
5114,100,3,3.40
5115,100,1,0.50
5116,101,1,1.50
5117,102,3,2.90
5118,102,1,0.90
5119,102,2,2.90
5120,105,1,2.40
5121,105,2,0.40
5122,106,3,0.80
5123,106,1,0.70
5124,107,1,3.10
5125,110,2,2.30
5126,111,2,2.30
5127,111,3,2.40
5128,112,2,3.20
5129,112,3,3.90
5130,112,1,2.20
5131,113,2,2.10
5132,114,2,0.90
5133,114,3,0.30
5134,114,1,2.30
5135,116,2,2.50
5136,118,2,0.50
5137,118,3,2.60
5138,119,3,3.70
5139,119,1,3.60
5140,120,2,0.30
5141,121,3,2.20
5142,121,1,0.70
5143,122,3,1.50
5144,124,2,3.20
5145,124,3,3.90
5146,125,1,0.90
5147,125,2,1.40
5148,125,3,1.40
5149,127,3,0.10
5150,127,1,1.40
5151,127,2,1.90
5152,128,2,0.50
5153,130,1,0.80
5154,130,2,2.50
5155,130,3,0.20
5156,131,3,2.80
5157,131,1,0.20
5158,133,1,0.10
5159,133,2,3.50
5160,134,1,1.80
5161,135,2,3.40
5162,136,1,0.80
5163,136,2,0.20
5164,136,3,3.40
5165,138,2,0.70
5166,138,3,0.10
5167,139,2,0.50
5168,139,3,0.60
5169,140,3,0.20
5170,140,1,3.30
5171,140,2,0.50
5172,141,1,2.80
5173,142,2,1.60
5174,143,1,0.90
5175,144,2,2.30
5176,144,3,3.50
5177,144,1,1.90
5178,145,3,2.70
5179,145,1,1.40
5180,145,2,2.60
5181,146,1,3.50
5182,148,3,2.30
5183,148,1,2.30
5184,149,2,0.90
5185,149,3,3.90
5186,149,1,0.30
5187,150,3,2.80
5188,150,1,3.60
5189,150,2,3.10
5190,152,1,1.50
5191,152,2,2.70
5192,154,2,2.20
5193,154,3,2.10
5194,155,1,2.40
5195,155,2,2.10
5196,156,3,3.20
5197,156,1,0.80
5198,158,1,3.80
5199,159,3,3.10
5200,159,1,2.70
5201,159,2,2.20
5202,160,2,3.90
5203,161,2,0.70
5204,162,2,1.70
5205,162,3,0.90
5206,163,3,3.30
5207,164,1,2.30
5208,164,2,1.60
5209,164,3,1.40
5210,165,1,0.20
5211,166,2,2.60
5212,167,1,2.80
5213,168,1,1.40
5214,168,2,2.20
5215,168,3,1.40
5216,169,3,3.20
5217,171,2,0.30
5218,171,3,3.60
5219,171,1,1.70
5220,172,1,3.30
5221,172,2,2.30
5222,173,1,0.10
5223,174,1,2.10
5224,175,3,1.80
5225,175,1,0.40
5226,175,2,3.80
5227,176,2,2.80
5228,176,3,0.90
5229,176,1,3.40
5230,177,3,1.30
5231,177,1,2.50
5232,178,1,2.60
5233,179,3,3.60
5234,180,1,0.30
5235,180,2,3.80
5236,181,1,0.50
5237,181,2,3.90
5238,183,1,1.60
5239,185,2,1.20
5240,185,3,2.80
5241,185,1,1.20
5242,186,1,2.60
5243,187,2,0.90
5244,187,3,2.50
5245,190,1,2.70
5246,191,2,2.30
5247,191,3,0.80
5248,193,1,3.30
5249,193,2,0.80
5250,193,3,3.80
5251,195,2,0.80
5252,195,3,2.40
5253,196,3,0.60
5254,196,1,0.20
5255,196,2,3.20
5256,197,3,1.50
5257,197,1,3.20
5258,199,2,1.50
5259,199,3,2.70
5260,199,1,1.80
5261,201,2,0.70
5262,201,3,0.90
5263,201,1,2.60
5264,202,3,1.80
5265,203,2,0.40
5266,203,3,0.10
5267,203,1,2.30
5268,204,3,1.10
5269,204,1,2.90
5270,204,2,0.80
5271,206,3,1.20
5272,206,1,3.50
5273,207,3,0.80
5274,207,1,1.50
5275,208,2,1.90
5276,209,3,3.40
5277,210,1,3.40
5278,211,3,0.10
5279,211,1,1.10
5280,211,2,1.60
5281,212,2,2.50
5282,212,3,3.20
5283,212,1,1.90
5284,213,3,3.30
5285,213,1,2.10
5286,214,2,2.20
5287,215,2,1.70
5288,215,3,1.70
5289,216,3,0.90
5290,216,1,0.30
5291,216,2,0.90
5292,219,3,2.50
5293,223,3,0.10
5294,224,1,3.90
5295,224,2,3.10
5296,224,3,3.30
5297,225,3,0.20
5298,225,1,0.60
5299,226,1,2.30
5300,226,2,1.70
5301,227,3,2.90
5302,228,1,0.70
5303,229,1,1.10
5304,229,2,0.50
5305,230,2,3.30
5306,230,3,1.90
5307,231,2,1.90
5308,232,3,3.50
5309,232,1,1.10
5310,233,3,2.80
5311,233,1,2.80
5312,234,2,1.90
5313,234,3,3.50
5314,234,1,3.90
5315,235,3,3.40
5316,235,1,1.80
5317,235,2,3.80
5318,236,3,1.50
5319,237,1,1.40
5320,238,1,1.60
5321,238,2,1.90
5322,239,3,0.60
5323,239,1,1.10
5324,239,2,0.30
5325,240,3,0.70
5326,241,3,2.90
5327,242,2,2.30
5328,242,3,3.40
5329,243,3,2.60
5330,244,2,2.30
5331,244,3,1.40
5332,245,2,2.20
5333,246,2,3.90
5334,246,3,3.60
5335,247,1,3.80
5336,247,2,0.60
5337,249,1,1.20
5338,249,2,1.10
5339,249,3,0.50
5340,250,1,1.80
5341,250,2,2.40
5342,250,3,0.10
5343,251,1,1.80
5344,252,2,0.30
5345,253,1,0.50
5346,255,2,0.70
5347,256,3,1.80
5348,256,1,3.60
5349,257,1,3.40
5350,257,2,2.70
5351,258,3,2.30
5352,258,1,3.90
5353,258,2,1.20
